total,target,horizon,case0_count,case0_entry_range_median,case0_future_range_median,case0_expansion_median,case0_expansion_p75,case0_expansion_p25,case1_count,case1_entry_range_median,case1_future_range_median,case1_expansion_median,case1_expansion_p75,case1_expansion_p25,case2_count,case2_entry_range_median,case2_future_range_median,case2_expansion_median,case2_expansion_p75,case2_expansion_p25,case3_count,case3_entry_range_median,case3_future_range_median,case3_expansion_median,case3_expansion_p75,case3_expansion_p25,dataset
2099697,50,5,6304,17.350346270934075,25.84607069008314,1.5176207635580066,2.38558642440225,1.0334537865626097,651302,5.515382334852026,5.919551632640867,1.0714699855932972,1.6761377291148727,0.7273889728398654,65966,23.526616614193834,30.214018683510204,1.3120463049467617,1.9666232513525272,0.9124805700581953,1358430,8.390164195533707,8.886294027796051,1.0406202115377188,1.5121042392377486,0.7391441357929621,train
2099697,50,10,10419,14.118710114643926,19.48439980131472,1.411001757485536,2.178434870840895,0.9564036526648021,651302,5.515382334852026,6.044717428066088,1.1025772463137709,1.7222121289689825,0.7488633189542682,141070,18.556671111168384,22.528511175384835,1.2330621138573838,1.8067693957695947,0.8729638902554882,1283326,8.100238546186413,8.66792380677936,1.0573211540967593,1.5317731965148076,0.7522725959174502,train
2099697,50,15,12985,12.671162748990731,16.92862114567895,1.3643938947009275,2.1123149701457837,0.9262160210385914,651302,5.515382334852026,6.10078584834691,1.1173392068278147,1.7506841445235624,0.756985232150668,208821,16.474255304114752,19.45932656717856,1.20449461645747,1.7532523703687413,0.8520090853635236,1215575,7.877251497163094,8.449506891128793,1.0644951110768197,1.5455524529262807,0.755592196223635,train
2099697,50,30,17392,10.797061730015503,13.839478774555982,1.3097140762560975,2.053211477465186,0.8878100906108859,651302,5.515382334852026,6.212770236412583,1.1424409194626226,1.806926714828584,0.7668353840452002,377075,13.685661168225469,15.75609580455984,1.1705802180660252,1.7026077031617923,0.8269076160832168,1047321,7.423018126227989,7.954467576803611,1.073844982071942,1.5738109261974491,0.7554635352785058,train
2099697,50,60,20515,9.617048938606208,12.051564831815034,1.2803083111795261,2.040326065422706,0.8543282453406642,651302,5.515382334852026,6.336851586075518,1.1714193457735265,1.8743737111395469,0.7752080642919243,606801,11.809140860603103,13.308865029017653,1.1501978975938065,1.6854516280961631,0.8070795241372746,817595,6.914423903821151,7.426586381697467,1.0849527102539027,1.6148731228194406,0.7522038880205547,train
2099697,50,120,22594,8.861640678630618,11.050176610450947,1.2534071089806291,2.0369572034764847,0.824169184349295,651302,5.515382334852026,6.490835023981614,1.2018948017958908,1.947802561509449,0.7835216723720343,875063,10.462424314377344,11.80180353712934,1.147155731323763,1.7031497753521205,0.792023178036974,549333,6.418913122866754,6.9283862539331516,1.0975874130821934,1.6695154363175422,0.7485408488894655,train
1049132,12,5,42576,6.258485011401147,7.476726761304484,1.2332072090995123,1.965110975174484,0.8400590733067107,102711,3.685919368204384,3.926048899257527,1.1090655510694591,1.9863821659303753,0.6919450087033705,211612,8.754718340189454,9.661290265631024,1.1302632926729652,1.6781141835992521,0.7986074918057139,675041,4.156262596694234,4.225138098248853,1.0369843528923037,1.7528883473437293,0.6695580660225534,test
1049132,12,10,52429,5.455219599206786,6.280354580194045,1.183890982162678,1.9225413398481763,0.7963236089719686,102711,3.685919368204384,3.9979285353881573,1.151666782044287,2.062157640373576,0.7188130548913534,335861,7.340048951476968,7.918609966323639,1.1045123277523146,1.6668008089677593,0.7727887031725414,550792,3.878928743186704,4.006080016170408,1.072459921508671,1.8472769229866493,0.6891652498397117,test
1049132,12,15,55888,5.1805696197206395,5.915328790352708,1.1754070148379125,1.9280434915876061,0.7827467855690984,102711,3.685919368204384,4.063793074411334,1.1745840313608082,2.1116967692732604,0.734770905324496,415823,6.76736712178519,7.244720808674498,1.0992757129728337,1.6752115236252187,0.7618988966974363,470830,3.733700037823673,3.910095012617181,1.0940184922672738,1.9085772370799812,0.6999172755207224,test
1049132,12,30,58651,4.963727087030077,5.634877949458891,1.1710901602153503,1.9523908073798135,0.7681073490877972,102711,3.685919368204384,4.2055934508432165,1.2187002512502232,2.217423495250477,0.7562824563766215,550289,6.043063826999169,6.480935705919469,1.0977618864700611,1.718297883248509,0.7483514988096492,336364,3.5318242731789447,3.820645622303936,1.132034887574902,2.0372324112473468,0.713484845720276,test
1049132,12,60,59499,4.888563222387126,5.559746775392484,1.1708474782034501,1.9952317715942998,0.7584601909048789,102711,3.685919368204384,4.396874716802267,1.2745482770431604,2.356570928857996,0.7777363819387757,667202,5.600369920788181,6.044942902768898,1.1065020791524807,1.7860369092040642,0.7381622274589814,219451,3.3761127061139513,3.7955541134306787,1.1733984476177788,2.1850071106426827,0.7256647030528389,test
1049132,12,120,59708,4.868012748799837,5.568022020054351,1.1749027216041874,2.052907981242009,0.7473315808834384,102711,3.685919368204384,4.590493683109574,1.3252148491790665,2.507021319725113,0.794055358250801,760885,5.305902156655501,5.843626965835921,1.1211667089579493,1.8823950217254297,0.7294915761721199,125768,3.271228009269697,3.8083068289169595,1.2174921296433365,2.335120794736296,0.7350477906487637,test
1049132,15,5,30618,6.884184308487521,8.508723505014613,1.2665914978468842,1.9966761979422396,0.8689133486341365,127221,3.667167121484657,3.9062902267467536,1.1030790053622332,1.9774115023450611,0.6884689696427021,156132,9.676716329521916,10.87977304111594,1.1498339581903996,1.6958119478699099,0.8150751357252164,715425,4.348390531059153,4.467336742159608,1.0401165161357437,1.7365412627331425,0.6776091773409192,test
1049132,15,10,40639,5.831470502478971,6.833349542793573,1.205680455594334,1.9372286602283588,0.8171632700035585,127221,3.667167121484657,3.9680426683555354,1.1427205050940072,2.0423032026246,0.7154889173099568,267699,7.956591986343294,8.675756316836198,1.1156798872563194,1.6696351874009034,0.7842364753337073,603858,4.0564283851810945,4.2049778927251555,1.070060756529759,1.8143744858556186,0.6937831448462988,test
1049132,15,15,44757,5.454687848503754,6.30517977560839,1.1910203507233972,1.9393918536170507,0.7996564428527607,127221,3.667167121484657,4.019887148142008,1.162551924567226,2.0833044126378066,0.7289999431613193,344671,7.247130149961883,7.814565907595246,1.1068048976063842,1.674606199088171,0.7709632727711127,526886,3.8966093667451864,4.074686528795812,1.0888228905162762,1.8674092676110174,0.7031558717944189,test
1049132,15,30,48521,5.097124663100268,5.829875790538373,1.1834759815085685,1.9633258119415253,0.7774268782017644,127221,3.667167121484657,4.141060512752624,1.203550960833677,2.1840948579012376,0.747705500274661,482834,6.360635039083291,6.83160160926284,1.1008779327727667,1.7113770675846707,0.7539836220105005,388723,3.6622747159159093,3.9154461400824485,1.119002449926448,1.9792258058002778,0.7125295347181693,test
