feature,quartile,noise_pct,real_up_pct,real_down_pct,real_both_pct,sample_size,noise_count,real_up_count,real_down_count,real_both_count
atr_pct,Q4,0.008000396210098024,15.9884108546328,15.532769241905314,68.47081950725179,524974,42,83935,81543,359454
atr7_pct,Q1,27.280104233336385,31.16028161287373,31.943174545122062,9.616439608667825,524976,143214,163584,167694,50484
atr7_pct,Q2,3.1913900661936285,32.80289537597029,33.49416638887566,30.511548168960427,524975,16754,172207,175836,160178
atr7_pct,Q3,0.3104909757607505,25.40920996237916,25.94314014953093,48.33715891232916,524975,1630,133392,136195,253758
atr7_pct,Q4,0.017334158769465213,16.192390113814945,15.828944235439781,67.96133149197581,524975,91,85006,83098,356780
atr21_pct,Q1,27.829484239159424,31.27385841530596,32.00418308024047,8.89247426529415,524972,146097,164179,168013,46683
atr21_pct,Q2,2.765480825644034,33.11509947197184,33.820851397788836,30.298568304595292,524972,14518,173845,177550,159059
atr21_pct,Q3,0.19505839370174732,25.20043964333268,25.87933428703681,48.725167675928766,524971,1024,132295,135859,255793
atr21_pct,Q4,0.009524317487408852,15.975328207980615,15.504064978703628,68.51108249582835,524972,50,83866,81392,359664
atr_percentile,Q1,8.553077393619944,27.62987762218551,28.314475453010363,35.50256953118418,546014,46701,150863,154601,193849
atr_percentile,Q2,8.497623700506699,27.11348989029628,27.50452651577634,36.88435989342069,515297,43788,139715,141730,190064
atr_percentile,Q3,7.646859134998646,26.250224088674273,26.664263673223402,39.438653103103675,524346,40096,137642,139813,206795
atr_percentile,Q4,6.0485706172272815,24.490117439286728,24.633075166589517,44.828236776896475,514138,31098,125913,126648,230479
bb_position,Q1,7.639836029350137,27.56432724030996,23.3069573234382,41.4888794069017,524972,40107,144705,122355,217805
bb_position,Q2,7.692600748230381,27.486037350563457,26.40636072019079,38.41500118101537,524972,40384,144294,138626,201668
bb_position,Q3,7.777748146567817,26.288449669696668,28.253506853698862,37.68029533003665,524972,40831,138007,148323,197811
bb_position,Q4,7.689362480284663,24.225863474623406,29.241750036192403,38.843024008899526,524972,40367,127179,153511,203915
std20,Q1,25.520789680211514,30.887552098016656,31.559778426277973,12.031879795493856,524972,133977,162151,165680,63164
std20,Q2,4.329564243426316,31.757503257316582,32.361535472368054,31.551397026889056,524972,22729,166718,169889,165636
std20,Q3,0.8813803402848153,25.720228888397855,26.217969720289847,47.18042105102748,524972,4627,135024,137637,247684
std20,Q4,0.06781314051035103,17.199393491462402,17.069291314584397,65.66350205344284,524972,356,90292,89609,344715
volume_ratio,Q1,9.416502213451384,26.98753457327248,27.100683465022897,36.49527974825324,524972,49434,141677,142271,191590
volume_ratio,Q2,6.739026081391007,26.374549499782844,26.76504651676661,40.12137790205954,524972,35378,138459,140509,210626
volume_ratio,Q3,6.938655775927097,26.430362000259063,26.952294598569065,39.67868762524478,524972,36426,138752,141492,208302
volume_ratio,Q4,7.7053633336635095,25.772231661879108,26.39055035316169,40.13185465129569,524972,40451,135297,138543,210681
volume_trend,Q1,7.758157609006229,26.57885212488333,26.952587766920015,38.71040249919043,524970,40728,139531,141493,203218
volume_trend,Q2,7.944088127108458,27.069407907895517,27.413809196352545,37.57269476864348,524969,41704,142106,143914,197245
volume_trend,Q3,8.226961972992692,26.923494530153206,27.32980423605965,37.51973926079445,524969,43189,141340,143473,196967
volume_trend,Q4,6.8704878374002325,24.991904299293292,25.512695963578867,42.6249118997276,524970,36068,131200,133934,223768
hour,Q1,9.66330659658894,27.35597131519941,28.451262641119673,34.52945944709197,611892,59129,167389,174091,211283
hour,Q2,8.881183065978092,26.186912542083697,27.01411422390811,37.9177901680301,525144,46639,137519,141863,199123
hour,Q3,4.999895212347415,24.50964141665285,25.178186640145867,45.31227673085387,524871,26243,128644,132153,237831
hour,Q4,6.775799086757991,27.544063926940638,26.190867579908677,39.489269406392694,438000,29678,120643,114716,172963
