feature,horizon,q1_mfe_median_train,q4_mfe_median_train,q4_q1_diff_train,spearman_r_train,p_value_train,q1_count_train,q4_count_train,pct_profitable_q1_train,pct_profitable_q4_train,status_train,q1_mfe_median_oos,q4_mfe_median_oos,q4_q1_diff_oos,spearman_r_oos,p_value_oos,q1_count_oos,q4_count_oos,pct_profitable_q1_oos,pct_profitable_q4_oos,status_oos
std20,15,57.39934385163735,186.41830054088433,129.01895668924698,0.5644334380926979,0.0,34975,34975,93.42101501072194,100.0,OK,50.56518990668477,125.6030672899574,75.03787738327262,0.49295961003926825,0.0,17482,17482,93.9366205239675,99.99427983068298,OK
recent_volatility,15,58.09690281477298,185.30717359274064,127.21027077796765,0.5585424285655061,0.0,34975,34975,93.42959256611866,100.0,OK,51.652847927892296,127.79525313152524,76.14240520363295,0.4942489969400354,0.0,17482,17482,94.21690882050109,100.0,OK
range_bps,15,58.09701947769627,184.9708990986906,126.87387962099433,0.557603215363926,0.0,34975,34975,93.50393137955683,99.99714081486776,OK,53.19482919186915,128.7223396221076,75.52751043023845,0.486526361807706,0.0,17482,17482,94.54867864088777,99.98855966136597,OK
donchian_width,15,60.816044260028015,180.2404232669398,119.4243790069118,0.5148591712473057,0.0,34975,34975,93.75268048606146,99.9771265189421,OK,53.97457909031186,117.44047102514479,63.465891934832925,0.42777527353241707,0.0,17482,17482,94.27983068298822,99.90275712161079,OK
bb_width,15,60.24455732609317,177.53594407816306,117.29138675206988,0.5155010759878436,0.0,34975,34975,93.53252323087919,100.0,OK,53.741479011131496,120.87624396575808,67.13476495462658,0.4451082741634973,0.0,17482,17482,94.2283491591351,99.98855966136597,OK
ema_separation,15,75.64496902088267,161.55247958504495,85.90751056416228,0.38034115868649515,0.0,34975,34975,94.66190135811294,99.93995711222303,OK,72.46497704047408,106.13374885828341,33.66877181780933,0.22821801224794205,0.0,17482,17482,96.6479807802311,99.85699576707471,OK
body_bps,15,78.40666577817281,163.5471058916781,85.14044011350528,0.3726370911682753,0.0,34975,34975,94.97641172265904,99.99428162973553,OK,67.07330981386929,114.08822034902776,47.01491053515848,0.3000750144170975,0.0,17482,17482,96.37913282233154,99.89703695229379,OK
atr_percentile,15,91.95297635291232,131.12394292332263,39.170966570410314,0.17128438769454363,0.0,34980,34507,96.09491137793025,99.66093836033268,OK,61.34199704009029,109.23794654781943,47.89594950772914,0.32298237691875314,0.0,17788,17457,95.69934787497189,99.89688949991408,OK
hour_utc,15,91.81980747001893,112.81392991870689,20.99412244868796,0.10807560670612217,9.099234169080903e-130,40766,29165,97.50036795368689,98.59763415052288,OK,71.05078967571882,82.84837239167089,11.797582715952075,0.10555468273622133,7.6500020235087e-124,20391,17470,97.91574714334756,98.48311390955924,OK
ll_count5,15,107.72650356414212,115.86734056454478,8.140837000402655,0.020891259423611478,2.985415933711204e-06,79964,19979,98.23295482967336,98.45337604484709,OK,82.69849676131503,86.8696400321945,4.171143270879469,0.016212400416962054,0.0002885697402638948,39181,11363,98.31295781118399,98.69752706151544,OK
hh_count5,15,109.50462468188464,111.85363978758156,2.349015105696921,0.0006014127574497013,0.893025689036606,77827,21152,98.1921441145104,98.5107791225416,OK,84.1583924594373,84.46802697944605,0.3096345200087569,0.00042537182942859033,0.9242245489453452,38388,11724,98.39012191309784,98.65233708631867,OK
range_position_50,15,118.98707584659066,119.63779872743004,0.6507228808393819,0.004433829948837671,0.3214831725223378,34975,34975,98.79914224446033,99.01644031451036,OK,89.89686776275826,88.27473264878746,-1.6221351139707991,-0.014091967495218407,0.001626359629388547,17482,17482,99.05617206269307,98.74728291957442,OK
dist_from_high20,15,115.55347743423785,115.9885405274298,0.4350630931919568,0.0005988145998422985,0.8934850666984433,34975,34975,98.63902787705504,98.30164403145105,OK,86.55289895535807,85.83450076122779,-0.7183981941302875,0.002824948157627251,0.5276070582979813,17482,17482,98.4898753003089,98.58139800938108,OK
session_us,15,109.4869069668803,109.4869069668803,0.0,0.01517528745032997,0.0006902874664459739,139898,139898,98.28875323449942,98.28875323449942,OK,83.8389345527491,83.8389345527491,0.0,0.04993036956389307,5.624942809801751e-29,69926,69926,98.3825758659154,98.3825758659154,OK
rsi_oversold_zone,15,109.4869069668803,109.4869069668803,0.0,0.07638492179268395,1.3677928464522539e-65,139898,139898,98.28875323449942,98.28875323449942,OK,83.8389345527491,83.8389345527491,0.0,0.07074996396743632,1.657988483576426e-56,69926,69926,98.3825758659154,98.3825758659154,OK
rsi_extreme_oversold,15,109.4869069668803,109.4869069668803,0.0,0.05540221590696484,2.695230041321934e-35,139898,139898,98.28875323449942,98.28875323449942,OK,83.8389345527491,83.8389345527491,0.0,0.05444782326432847,3.799540156436798e-34,69926,69926,98.3825758659154,98.3825758659154,OK
session_asia_night,15,109.4869069668803,109.4869069668803,0.0,-0.09128543085539334,5.506461625746199e-93,139898,139898,98.28875323449942,98.28875323449942,OK,83.8389345527491,83.8389345527491,0.0,-0.1083220775880807,2.355577308293346e-130,69926,69926,98.3825758659154,98.3825758659154,OK
is_weekend,15,109.4869069668803,109.4869069668803,0.0,-0.17469225544710515,0.0,139898,139898,98.28875323449942,98.28875323449942,OK,83.8389345527491,83.8389345527491,0.0,-0.32381359510547614,0.0,69926,69926,98.3825758659154,98.3825758659154,OK
session_europe,15,109.4869069668803,109.4869069668803,0.0,0.024075919911188758,7.277357224150285e-08,139898,139898,98.28875323449942,98.28875323449942,OK,83.8389345527491,83.8389345527491,0.0,0.02303859371729059,2.575290934068527e-07,69926,69926,98.3825758659154,98.3825758659154,OK
dist_from_low20,15,115.9885405274298,115.55347743423785,-0.4350630931919568,-0.007017607480799149,0.11660953780134256,34975,34975,98.30164403145105,98.63902787705504,OK,85.83450076122779,86.55289895535807,0.7183981941302875,-0.002428169138826965,0.5871694948007526,17482,17482,98.58139800938108,98.4898753003089,OK
day_of_week,15,118.31811757098289,94.20624626715514,-24.111871303827755,-0.1410775743219241,1.3775635360410022e-220,39907,20012,99.4311774876588,96.45712572456526,OK,98.86785450738341,69.96297490936622,-28.90487959801719,-0.2700567431292328,0.0,20100,9956,99.88059701492537,96.58497388509441,OK
keltner_width,20,65.85495797168888,222.1562649294882,156.30130695779934,0.5877918846478093,0.0,34974,34973,95.77400354549094,100.0,OK,59.29063164636184,150.53273989409195,91.2421082477301,0.5020746362273522,0.0,17481,17480,96.54482009038384,100.0,OK
atr_pct,20,65.86785391199496,222.1562649294882,156.28841101749325,0.5884007827252005,0.0,34974,34973,95.77400354549094,100.0,OK,59.285556592037324,150.4083811825896,91.12282459055228,0.5028489141538433,0.0,17481,17480,96.54482009038384,100.0,OK
bar_range_avg_10,20,66.01563880452895,221.5817365716474,155.56609776711846,0.5898374315916354,0.0,34974,34973,95.7768628123749,100.0,OK,59.24745237829363,151.64051918264454,92.39306680435091,0.5117674378281505,0.0,17481,17480,96.53337909730566,100.0,OK
atr7_pct,20,65.9116851517318,221.39286652200937,155.48118137027757,0.5936853970858179,0.0,34974,34973,95.77972207925887,100.0,OK,59.43777235500167,152.60238378112547,93.1646114261238,0.5108716498715782,0.0,17481,17480,96.56198158000115,100.0,OK
atr21_pct,20,66.85200412774061,221.70693041194477,154.85492628420417,0.5868050153643316,0.0,34974,34973,95.78544061302682,100.0,OK,59.53744305110705,147.96551785732345,88.4280748062164,0.4902664286732441,0.0,17481,17480,96.58486356615754,99.99427917620137,OK
std20,20,68.89771857893024,213.46779919603955,144.5700806171093,0.5468239855236727,0.0,34974,34973,95.8369074169383,100.0,OK,60.70658298580771,145.73778295327838,85.03119996747068,0.47082101064160015,0.0,17481,17480,96.58486356615754,100.0,OK
recent_volatility,20,69.68287479488703,212.23062582125908,142.54775102637205,0.543492858593677,0.0,34974,34973,95.83404815005433,100.0,OK,61.52199785565444,147.25399098217676,85.73199312652233,0.472361257775866,0.0,17481,17480,96.68211200732225,100.0,OK
range_bps,20,69.57601107633022,211.7108844105324,142.13487333420218,0.5437187531048966,0.0,34974,34973,95.86835935266198,100.0,OK,63.46757925386836,147.64484669422112,84.17726744035275,0.46174518625487804,0.0,17481,17480,96.93381385504262,99.99427917620137,OK
